team Name,matched_played,total_point,season
Puneri Paltan,16,515,season 4
Telugu Titans,16,506,season 4
Patna Pirates,16,492,season 4
Jaipur Pink Panthers,16,475,season 4
Dabang Delhi K.C.,14,419,season 4
U Mumba,14,399,season 4
Bengal Warriors,14,378,season 4
Bengaluru Bulls,14,360,season 4
