Team,Pld,W,L,D,SD,Pts,season
Jaipur Pink Panthers,14,10,3,1,100,54,season 1
U Mumba,14,8,3,3,59,51,season 1
Bengaluru Bulls,14,8,5,1,36,47,season 1
Patna Pirates ,14,7,5,2,18,45,season 1
Telugu Titans,14,6,5,3,26,42,season 1
Dabang Delhi,14,5,8,1,-27,32,season 1
Bengal Warriors,14,4,9,1,-85,24,season 1
Puneri Paltan,14,2,12,0,-127,17,season 1
