team1,team2,team1_score,team2_score,season
Tamil Thalaivas , Patna Pirates ,42,26,season 6
Match Tied,,,,season 6
Puneri Paltan , Haryana Steelers ,34,22,season 6
U.P. Yoddha , Tamil Thalaivas ,37,32,season 6
Match Tied,,,,season 6
Telugu Titans , Tamil Thalaivas ,33,28,season 6
U Mumba , Jaipur Pink Panthers ,39,32,season 6
Bengaluru Bulls , Tamil Thalaivas ,48,37,season 6
Patna Pirates , U.P. Yoddha ,43,41,season 6
Bengal Warriors , Tamil Thalaivas ,36,27,season 6
Haryana Steelers , Gujarat Fortunegiants ,32,25,season 6
Dabang Delhi K.C. , Puneri Paltan ,41,37,season 6
Telugu Titans , U.P. Yoddha ,34,29,season 6
U Mumba , Haryana Steelers ,53,26,season 6
Patna Pirates , U.P. Yoddha ,43,37,season 6
Puneri Paltan , Haryana Steelers ,45,27,season 6
Bengal Warriors , Telugu Titans ,30,25,season 6
Jaipur Pink Panthers , Haryana Steelers ,36,33,season 6
Bengaluru Bulls , Tamil Thalaivas ,44,35,season 6
U Mumba , Haryana Steelers ,42,32,season 6
Haryana Steelers , Dabang Delhi K.C. ,34,31,season 6
Gujarat Fortunegiants , Puneri Paltan ,34,28,season 6
Telugu Titans , Patna Pirates ,35,31,season 6
Puneri Paltan , Jaipur Pink Panthers ,29,25,season 6
Match Tied,,,,season 6
Puneri Paltan , U Mumba ,33,32,season 6
Dabang Delhi K.C. , Bengal Warriors ,39,30,season 6
Puneri Paltan , Bengaluru Bulls ,27,25,season 6
U Mumba , Telugu Titans ,41,20,season 6
Tamil Thalaivas , Puneri Paltan ,36,31,season 6
Bengaluru Bulls , Haryana Steelers ,42,34,season 6
U.P. Yoddha , Puneri Paltan ,29,23,season 6
Patna Pirates , Jaipur Pink Panthers ,41,30,season 6
Gujarat Fortunegiants , Tamil Thalaivas ,36,25,season 6
Bengal Warriors , Jaipur Pink Panthers ,39,28,season 6
U Mumba , Patna Pirates ,40,39,season 6
U.P. Yoddha , Dabang Delhi K.C. ,38,36,season 6
Haryana Steelers , Patna Pirates ,43,32,season 6
Gujarat Fortunegiants , Puneri Paltan ,37,27,season 6
Telugu Titans , Patna Pirates ,53,32,season 6
Puneri Paltan , Dabang Delhi K.C. ,31,27,season 6
Bengaluru Bulls , Patna Pirates ,43,41,season 6
