team1,team2,team1_score,team2_score,season
Patna Pirates , Bengal Warriors ,29,27,season 6
Tamil Thalaivas , U.P. Yoddha ,46,24,season 6
Gujarat Fortunegiants , Jaipur Pink Panthers ,36,25,season 6
U Mumba , Puneri Paltan ,31,22,season 6
Bengaluru Bulls , U.P. Yoddha ,35,29,season 6
Gujarat Fortunegiants , Dabang Delhi K.C. ,45,38,season 6
Match Tied,,,,season 6
Jaipur Pink Panthers , Haryana Steelers ,38,32,season 6
Match Tied,,,,season 6
Dabang Delhi K.C. , Haryana Steelers ,39,33,season 6
Bengaluru Bulls , U.P. Yoddha ,37,27,season 6
U Mumba , Jaipur Pink Panthers ,48,24,season 6
Bengal Warriors , Telugu Titans ,30,25,season 6
Patna Pirates , Bengal Warriors ,50,30,season 6
Gujarat Fortunegiants , U Mumba ,38,36,season 6
Dabang Delhi K.C. , Jaipur Pink Panthers ,40,29,season 6
Haryana Steelers , U Mumba ,35,31,season 6
Telugu Titans , Puneri Paltan ,28,25,season 6
U Mumba , U.P. Yoddha ,41,24,season 6
Match Tied,,,,season 6
U Mumba , Bengaluru Bulls ,32,29,season 6
Patna Pirates , Dabang Delhi K.C. ,38,35,season 6
U Mumba , Tamil Thalaivas ,36,22,season 6
Gujarat Fortunegiants , Bengal Warriors ,35,23,season 6
Jaipur Pink Panthers , U.P. Yoddha ,45,28,season 6
Bengal Warriors , Puneri Paltan ,26,22,season 6
Match Tied,,,,season 6
Bengaluru Bulls , Jaipur Pink Panthers ,45,32,season 6
Gujarat Fortunegiants , U.P. Yoddha ,37,32,season 6
Tamil Thalaivas , Telugu Titans ,27,23,season 6
Dabang Delhi K.C. , Gujarat Fortunegiants ,29,26,season 6
Patna Pirates , Tamil Thalaivas ,45,27,season 6
Gujarat Fortunegiants , U Mumba ,39,35,season 6
Gujarat Fortunegiants , Haryana Steelers ,40,31,season 6
Bengal Warriors , Bengaluru Bulls ,33,31,season 6
Match Tied,,,,season 6
U Mumba , Dabang Delhi K.C. ,39,23,season 6
Bengaluru Bulls , Tamil Thalaivas ,36,22,season 6
Haryana Steelers , Dabang Delhi K.C. ,34,27,season 6
Patna Pirates , Bengaluru Bulls ,35,32,season 6
Tamil Thalaivas , Telugu Titans ,31,25,season 6
Bengaluru Bulls , U.P. Yoddha ,37,27,season 6
Puneri Paltan , Haryana Steelers ,35,33,season 6
Bengaluru Bulls , Telugu Titans ,34,26,season 6
Gujarat Fortunegiants , Puneri Paltan ,35,20,season 6
Bengal Warriors , Bengaluru Bulls ,44,37,season 6
Dabang Delhi K.C. , Jaipur Pink Panthers ,48,35,season 6
Match Tied,,,,season 6
U Mumba , Dabang Delhi K.C. ,41,34,season 6
U Mumba , Gujarat Fortunegiants ,36,26,season 6
Dabang Delhi K.C. , Puneri Paltan ,35,24,season 6
Gujarat Fortunegiants , Patna Pirates ,45,27,season 6
Dabang Delhi K.C. , Telugu Titans ,34,29,season 6
Haryana Steelers , Bengal Warriors ,35,33,season 6
Dabang Delhi K.C. , Bengaluru Bulls ,32,31,season 6
U.P. Yoddha , Haryana Steelers ,30,29,season 6
Dabang Delhi K.C. , Tamil Thalaivas ,37,33,season 6
Gujarat Fortunegiants , Telugu Titans ,29,27,season 6
Patna Pirates , Puneri Paltan ,53,36,season 6
U Mumba , Bengal Warriors ,31,20,season 6
Telugu Titans , Jaipur Pink Panthers ,36,26,season 6
Jaipur Pink Panthers , Tamil Thalaivas ,37,24,season 6
Telugu Titans , Haryana Steelers ,35,31,season 6
U Mumba , Dabang Delhi K.C. ,44,19,season 6
U.P. Yoddha , Telugu Titans ,27,20,season 6
Gujarat Fortunegiants , Haryana Steelers ,47,37,season 6
Bengaluru Bulls , Telugu Titans ,37,24,season 6
Telugu Titans , Patna Pirates ,41,36,season 6
Jaipur Pink Panthers , Puneri Paltan ,36,23,season 6
Bengal Warriors , Tamil Thalaivas ,28,21,season 6
Match Tied,,,,season 6
Match Tied,,,,season 6
U.P. Yoddha , Patna Pirates ,47,31,season 6
Gujarat Fortunegiants , Jaipur Pink Panthers ,34,29,season 6
Bengaluru Bulls , Telugu Titans ,44,28,season 6
Jaipur Pink Panthers , Haryana Steelers ,39,30,season 6
Match Tied,,,,season 6
Gujarat Fortunegiants , Jaipur Pink Panthers ,33,31,season 6
Match Tied,,,,season 6
Bengal Warriors , Tamil Thalaivas ,27,24,season 6
Puneri Paltan , Telugu Titans ,35,20,season 6
U.P. Yoddha , U Mumba ,34,32,season 6
Bengal Warriors , Patna Pirates ,39,23,season 6
Dabang Delhi K.C. , Bengal Warriors ,37,31,season 6
Match Tied,,,,season 6
Bengal Warriors , Telugu Titans ,39,34,season 6
Gujarat Fortunegiants , Patna Pirates ,37,29,season 6
Bengal Warriors , Bengaluru Bulls ,37,31,season 6
Bengaluru Bulls , Jaipur Pink Panthers ,40,32,season 6
U.P. Yoddha , Bengal Warriors ,41,25,season 6
U.P. Yoddha , U Mumba ,34,29,season 6
Dabang Delhi K.C. , Bengal Warriors ,39,28,season 6
Bengaluru Bulls , Gujarat Fortunegiants ,41,29,season 6
U.P. Yoddha , Dabang Delhi K.C. ,45,33,season 6
Gujarat Fortunegiants , U.P. Yoddha ,38,31,season 6
Bengaluru Bulls , Gujarat Fortunegiants ,38,33,season 6
