Team ,Pld,W,L,D,SD,Pts,season
U Mumba,14,12,2,0,40,60,season 2
Telugu Titans,14,8,3,3,85,50,season 2
Bengaluru Bulls ,14,9,5,0,55,48,season 2
Patna Pirates,14,7,6,1,-18,41,season 2
Jaipur Pink Panthers,14,6,7,1,43,38,season 2
Bengal Warriors,14,4,9,1,-63,27,season 2
Dabang Delhi,14,4,9,1,-68,27,season 2
Puneri Paltan,14,2,11,1,-74,21,season 2
