team Name,matched_played,total_point,season
Jaipur Pink Panthers,16,579,season 1
U Mumba,16,550,season 1
Patna Pirates,16,504,season 1
Bengaluru Bulls,16,498,season 1
Telugu Titans,14,497,season 1
Dabang Delhi K.C.,14,456,season 1
Bengal Warriors,14,430,season 1
Puneri Paltan,14,405,season 1
