Team,Played,Won,Lost,Tied,SD,Points,season
Bengaluru Bulls,22,13,7,2,104,78,season 6
Bengal Warriors,22,12,8,2,2,69,season 6
UP Yoddha,22,8,10,4,-45,57,season 6
,,,,,,,season 6
Patna Pirates,22,9,11,2,-36,55,season 6
Telugu Titans,22,8,13,1,-55,51,season 6
Tamil Thalaivas,22,5,13,4,-70,42,season 6
