team1,team2,team1_score,team2_score,season,matched_played1,total_point1,matched_played2,total_point2
dabang delhi,jaipur pink panthers,35.0,27.0,season 2,14.0,396.0,14.0,442.0
telugu titans,patna pirates,34.0,22.0,season 2,16.0,586.0,16.0,444.0
bengaluru bulls,telugu titans,35.0,21.0,season 2,16.0,508.0,16.0,586.0
patna pirates,dabang delhi,39.0,22.0,season 2,16.0,444.0,14.0,396.0
u mumba,dabang delhi,27.0,22.0,season 2,16.0,489.0,14.0,396.0
patna pirates,puneri paltan,32.0,28.0,season 2,16.0,444.0,14.0,391.0
jaipur pink panthers,puneri paltan,35.0,29.0,season 2,14.0,442.0,14.0,391.0
u mumba,dabang delhi,29.0,25.0,season 2,16.0,489.0,14.0,396.0
telugu titans,bengal warriors,44.0,28.0,season 2,16.0,586.0,14.0,367.0
bengaluru bulls,bengal warriors,33.0,22.0,season 2,16.0,508.0,14.0,367.0
telugu titans,patna pirates,54.0,32.0,season 2,16.0,586.0,16.0,444.0
jaipur pink panthers,u mumba,35.0,25.0,season 2,14.0,442.0,16.0,489.0
bengal warriors,dabang delhi,20.0,17.0,season 2,14.0,367.0,14.0,396.0
patna pirates,bengaluru bulls,30.0,28.0,season 2,16.0,444.0,16.0,508.0
u mumba,bengal warriors,31.0,17.0,season 2,16.0,489.0,14.0,367.0
dabang delhi,patna pirates,45.0,26.0,season 2,14.0,396.0,16.0,444.0
jaipur pink panthers,dabang delhi,51.0,21.0,season 2,14.0,442.0,14.0,396.0
jaipur pink panthers,puneri paltan,31.0,18.0,season 2,14.0,442.0,14.0,391.0
u mumba,bengaluru bulls,36.0,29.0,season 2,16.0,489.0,16.0,508.0
bengal warriors,puneri paltan,31.0,28.0,season 2,14.0,367.0,14.0,391.0
jaipur pink panthers,bengaluru bulls,27.0,25.0,season 2,14.0,442.0,16.0,508.0
patna pirates,bengal warriors,34.0,32.0,season 2,16.0,444.0,14.0,367.0
bengaluru bulls,dabang delhi,40.0,21.0,season 2,16.0,508.0,14.0,396.0
u mumba,patna pirates,32.0,27.0,season 2,16.0,489.0,16.0,444.0
bengaluru bulls,telugu titans,43.0,29.0,season 2,16.0,508.0,16.0,586.0
