Team,Played,Won,Lost,Tied,SD,Points,season
Gujarat Fortune Giants,22,15,4,3,126,87,season 5
Puneri Paltan,22,15,7,0,91,80,season 5
Haryana Steelers,22,13,5,4,40,79,season 5
,,,,,,,season 5
U Mumba,22,10,12,0,-50,56,season 5
Jaipur Pink Panthers,22,8,13,1,-91,51,season 5
Dabang Delhi,22,5,16,1,-134,38,season 5
