team Name,matched_played,total_point,season
Bengaluru Bulls,24,887,season 6
Gujarat Fortunegiants,25,876,season 6
U Mumba,23,856,season 6
Dabang Delhi K.C.,24,822,season 6
U.P. Yoddha,25,812,season 6
Patna Pirates,22,799,season 6
Bengal Warriors,23,725,season 6
Haryana Steelers,22,715,season 6
Jaipur Pink Panthers,22,711,season 6
Tamil Thalaivas,22,671,season 6
