team Name,matched_played,total_point,season
Bengal Warriors,18,636,season 7
Bengaluru Bulls,17,582,season 7
Puneri Paltan,18,578,season 7
Dabang Delhi K.C.,16,567,season 7
Patna Pirates,17,567,season 7
Jaipur Pink Panthers,18,552,season 7
Haryana Steelers,16,543,season 7
U Mumba,17,529,season 7
Tamil Thalaivas,18,525,season 7
Gujarat Fortunegiants,18,518,season 7
