team1,team2,team1_score,team2_score,season
U Mumba , Telugu Titans ,27,25,season 3
Bengaluru Bulls , Dabang Delhi ,35,29,season 3
Jaipur Pink Panthers , U Mumba ,27,18,season 3
Telugu Titans , Puneri Paltan ,27,26,season 3
Patna Pirates , Jaipur Pink Panthers ,29,28,season 3
Telugu Titans , Dabang Delhi ,45,34,season 3
Bengal Warriors , Telugu Titans ,25,17,season 3
Patna Pirates , Bengaluru Bulls ,33,24,season 3
Puneri Paltan , Dabang Delhi ,38,20,season 3
Bengal Warriors , Bengaluru Bulls ,34,24,season 3
U Mumba , Dabang Delhi ,30,17,season 3
Bengaluru Bulls , Jaipur Pink Panthers ,36,26,season 3
Patna Pirates , U Mumba ,40,26,season 3
Telugu Titans , Bengaluru Bulls ,35,26,season 3
Bengal Warriors , Puneri Paltan ,33,28,season 3
Jaipur Pink Panthers , Dabang Delhi ,39,34,season 3
Patna Pirates , Telugu Titans ,29,25,season 3
Bengal Warriors , Dabang Delhi ,34,17,season 3
Patna Pirates , Bengal Warriors ,36,31,season 3
U Mumba , Bengaluru Bulls ,29,28,season 3
Bengal Warriors , Jaipur Pink Panthers ,34,20,season 3
Match Tied,,,,season 3
Patna Pirates , Dabang Delhi ,47,34,season 3
Match Tied,,,,season 3
Telugu Titans , Jaipur Pink Panthers ,27,25,season 3
U Mumba , Puneri Paltan ,29,27,season 3
U Mumba , Bengal Warriors ,32,21,season 3
Puneri Paltan , Bengaluru Bulls ,29,27,season 3
Patna Pirates , Bengal Warriors ,32,27,season 3
Jaipur Pink Panthers , Telugu Titans ,35,26,season 3
Patna Pirates , Bengaluru Bulls ,36,32,season 3
Dabang Delhi , Bengaluru Bulls ,35,21,season 3
Match Tied,,,,season 3
Bengal Warriors , Telugu Titans ,32,28,season 3
U Mumba , Patna Pirates ,34,28,season 3
Jaipur Pink Panthers , Bengaluru Bulls ,30,21,season 3
Puneri Paltan , Dabang Delhi ,32,22,season 3
Telugu Titans , Bengaluru Bulls ,40,22,season 3
Puneri Paltan , Jaipur Pink Panthers ,33,18,season 3
Bengal Warriors , Jaipur Pink Panthers ,34,18,season 3
U Mumba , Bengal Warriors ,30,17,season 3
Patna Pirates , Jaipur Pink Panthers ,47,24,season 3
Telugu Titans , Dabang Delhi ,44,36,season 3
U Mumba , Bengaluru Bulls ,39,18,season 3
Patna Pirates , Dabang Delhi ,67,34,season 3
Puneri Paltan , Telugu Titans ,41,24,season 3
Match Tied,,,,season 3
Puneri Paltan , Bengaluru Bulls ,44,27,season 3
Bengal Warriors , Dabang Delhi ,37,31,season 3
U Mumba , Jaipur Pink Panthers ,35,21,season 3
Telugu Titans , Patna Pirates ,42,41,season 3
U Mumba , Puneri Paltan ,30,27,season 3
Bengal Warriors , Bengaluru Bulls ,26,22,season 3
U Mumba , Telugu Titans ,38,22,season 3
Puneri Paltan , Bengal Warriors ,43,19,season 3
U Mumba , Dabang Delhi ,36,20,season 3
Patna Pirates , Puneri Paltan ,40,21,season 3
U Mumba , Bengal Warriors ,41,29,season 3
Puneri Paltan , Bengal Warriors ,31,27,season 3
Patna Pirates , U Mumba ,31,28,season 3
