team1,team2,team1_score,team2_score,season
U Mumba , Jaipur Pink Panthers ,45,31,season 1
Bengaluru Bulls , Dabang Delhi ,47,28,season 1
Bengaluru Bulls , Puneri Paltan ,40,37,season 1
U Mumba , Bengal Warriors ,36,25,season 1
Dabang Delhi , Puneri Paltan ,35,31,season 1
Match Drawn ,35,35,,season 1
U Mumba , Patna Pirates ,36,33,season 1
Bengaluru Bulls , Bengal Warriors ,46,30,season 1
Jaipur Pink Panthers , Telugu Titans ,46,32,season 1
Bengal Warriors , Dabang Delhi ,42,40,season 1
Patna Pirates , Telugu Titans ,38,35,season 1
Bengal Warriors , Puneri Paltan ,38,35,season 1
Jaipur Pink Panthers , Patna Pirates ,40,18,season 1
U Mumba , Bengal Warriors ,38,29,season 1
Telugu Titans , Dabang Delhi ,39,35,season 1
Puneri Paltan , Bengaluru Bulls ,33,31,season 1
U Mumba , Puneri Paltan ,44,28,season 1
Patna Pirates , Dabang Delhi ,36,31,season 1
U Mumba , Bengaluru Bulls ,45,34,season 1
Jaipur Pink Panthers , Dabang Delhi ,40,31,season 1
Dabang Delhi , Bengal Warriors ,46,36,season 1
Patna Pirates , Puneri Paltan ,35,27,season 1
Bengal Warriors , Telugu Titans ,40,35,season 1
Match Drawn ,37,37,,season 1
Jaipur Pink Panthers , Telugu Titans ,49,29,season 1
Match Drawn ,30,30,,season 1
Jaipur Pink Panthers , Bengal Warriors ,39,23,season 1
Bengaluru Bulls , Patna Pirates ,37,35,season 1
Telugu Titans , Puneri Paltan ,42,36,season 1
Bengaluru Bulls , U Mumba ,33,30,season 1
Puneri Paltan , Bengal Warriors ,40,30,season 1
Dabang Delhi , Bengaluru Bulls ,29,27,season 1
Jaipur Pink Panthers , Puneri Paltan ,50,23,season 1
Dabang Delhi , U Mumba ,36,27,season 1
Patna Pirates , Puneri Paltan ,37,31,season 1
Match Drawn ,28,28,,season 1
Jaipur Pink Panthers , Bengal Warriors ,41,33,season 1
Patna Pirates , Jaipur Pink Panthers ,52,30,season 1
Telugu Titans , U Mumba ,44,43,season 1
Bengal Warriors , Patna Pirates ,30,28,season 1
Telugu Titans , Puneri Paltan ,60,24,season 1
Telugu Titans , Dabang Delhi ,45,26,season 1
Jaipur Pink Panthers , Bengaluru Bulls ,36,31,season 1
Patna Pirates , Bengal Warriors ,36,32,season 1
Match Drawn ,31,31,,season 1
Match Drawn ,34,34,,season 1
Jaipur Pink Panthers , Dabang Delhi ,41,31,season 1
Telugu Titans , Patna Pirates ,32,29,season 1
Jaipur Pink Panthers , Puneri Paltan ,33,27,season 1
Bengaluru Bulls , Bengal Warriors ,37,24,season 1
U Mumba , Dabang Delhi ,37,30,season 1
Dabang Delhi , Puneri Paltan ,45,22,season 1
Patna Pirates , Bengaluru Bulls ,33,31,season 1
Bengaluru Bulls , Telugu Titans ,27,26,season 1
U Mumba , Puneri Paltan ,36,35,season 1
Bengaluru Bulls , Jaipur Pink Panthers ,30,29,season 1
Jaipur Pink Panthers , Patna Pirates ,38,18,season 1
U Mumba , Bengaluru Bulls ,27,23,season 1
Patna Pirates , Bengaluru Bulls ,29,22,season 1
Jaipur Pink Panthers , U Mumba ,35,24,season 1
