team Name,matched_played,total_point,season
Patna Pirates,16,594,season 3
Puneri Paltan,16,510,season 3
U Mumba,16,502,season 3
Bengal Warriors,16,460,season 3
Telugu Titans,14,427,season 3
Dabang Delhi K.C.,14,384,season 3
Jaipur Pink Panthers,14,364,season 3
Bengaluru Bulls,14,362,season 3
