player Name,matched_played,total_point,season
Pawan Kumar Sehrawat,24,282,season 6
Pardeep Narwal,21,233,season 6
Siddharth Sirish Desai,21,221,season 6
Deepak Niwas Hooda,22,208,season 6
Maninder Singh,22,206,season 6
Ajay Thakur,22,204,season 6
Sachin Tanwar,23,204,season 6
Vikash Kandola,22,177,season 6
Naveen Kumar,22,177,season 6
Rohit Kumar,24,171,season 6
Rahul Chaudhari,21,166,season 6
Monu Goyat,20,164,season 6
Chandran Ranjit,24,158,season 6
Prashanth Kumar Rai,21,147,season 6
Shrikant Jadhav,25,146,season 6
K. Prapanjan,22,123,season 6
Rohit Baliyan,19,108,season 6
Rishank Devadiga,23,104,season 6
Nitin Tomar,11,102,season 6
Manjeet,22,102,season 6
Naveen,21,102,season 6
Nitesh Kumar,25,101,season 6
Meraj Sheykh,19,97,season 6
More GB,22,91,season 6
Parvesh Bhainswal,25,86,season 6
Nilesh Salunke,19,85,season 6
Kashiling Adake,20,84,season 6
Fazel Atrachali,23,83,season 6
Jang Kun Lee,18,82,season 6
Sunil Kumar,25,76,season 6
Ajinkya Ashok Pawar,17,75,season 6
Deepak Narwal,17,74,season 6
Vijay,21,73,season 6
Ran Singh,22,71,season 6
Sukesh Hegde,17,71,season 6
Sachin Kumar,25,68,season 6
Sandeep Kumar Dhull,22,67,season 6
Manjeet Chhillar,19,67,season 6
Sandeep Narwal,18,66,season 6
Mahender Singh,24,63,season 6
Surender Singh,22,62,season 6
Rohit Gulia,19,61,season 6
Vishal Bhardwaj,17,60,season 6
Ravinder Pahal,22,59,season 6
Jaideep,22,58,season 6
PO Surjeet Singh,23,57,season 6
Monu,14,57,season 6
Girish Maruti Ernak,20,57,season 6
Mohsen Maghsoudloujafari,19,56,season 6
Abozar Mohajermighani,21,56,season 6
Athul MS,19,56,season 6
Abhishek Singh,15,53,season 6
Vinod Kumar,17,51,season 6
Amit Hooda,18,51,season 6
Joginder Singh Narwal,22,51,season 6
Anup Kumar,13,50,season 6
Darshan Kadian,14,50,season 6
Kuldeep Singh,22,49,season 6
Farhad Rahimi Milaghardan,22,47,season 6
Ruturaj Shivaji Koravi,23,47,season 6
Mahesh Goud,10,46,season 6
Jasvir Singh,16,46,season 6
Pawan Kumar Kadian,13,45,season 6
Ashish Kumar,24,45,season 6
Ravindra Ramesh Kumawat,12,42,season 6
Narender,25,42,season 6
Akshay Jadhav,18,41,season 6
Selvamani K,15,41,season 6
Sunil,22,41,season 6
Ravi Kumar,22,40,season 6
Jeeva Kumar,19,40,season 6
Dharmaraj Cheralathan,22,40,season 6
Vikas Kale,22,39,season 6
Vishal Mane,22,38,season 6
Rohit Rana,19,38,season 6
Sunil Siddhgavali,16,38,season 6
Amit Sheoran,15,38,season 6
Vikas Jaglan,14,37,season 6
Deepak Kumar Dahiya,11,34,season 6
Ajay Kumar,13,33,season 6
