team Name,matched_played,total_point,season
Telugu Titans,16,586,season 2
Bengaluru Bulls,16,508,season 2
U Mumba,16,489,season 2
Patna Pirates,16,444,season 2
Jaipur Pink Panthers,14,442,season 2
Dabang Delhi K.C.,14,396,season 2
Puneri Paltan,14,391,season 2
Bengal Warriors,14,367,season 2
