team1,team2,team1_score,team2_score,season
U.P. Yoddha , Bengal Warriors  ,32,29,season 7
Bengaluru Bulls , Tamil Thalaivas  ,33,27,season 7
Haryana Steelers , Puneri Paltan  ,41,27,season 7
Telugu Titans , Tamil Thalaivas  ,35,30,season 7
Dabang Delhi K.C. , Jaipur Pink Panthers  ,46,44,season 7
Bengaluru Bulls , Patna Pirates  ,40,39,season 7
Match Tied,,,,season 7
U.P. Yoddha , Patna Pirates  ,41,29,season 7
Bengaluru Bulls , Telugu Titans  ,40,39,season 7
Match Tied,,,,season 7
Haryana Steelers , Dabang Delhi K.C.  ,47,25,season 7
Dabang Delhi K.C. , Tamil Thalaivas  ,50,34,season 7
Bengal Warriors , Puneri Paltan  ,42,39,season 7
U.P. Yoddha , Gujarat Fortunegiants  ,33,26,season 7
Patna Pirates , Tamil Thalaivas  ,51,25,season 7
U Mumba , Telugu Titans  ,41,27,season 7
Match Tied,,,,season 7
Bengal Warriors , U Mumba  ,29,26,season 7
Patna Pirates , Jaipur Pink Panthers  ,36,33,season 7
Bengal Warriors , Bengaluru Bulls  ,42,40,season 7
Puneri Paltan , Gujarat Fortunegiants  ,43,33,season 7
Haryana Steelers , Tamil Thalaivas  ,43,35,season 7
Dabang Delhi K.C. , Gujarat Fortunegiants  ,34,30,season 7
Patna Pirates , Puneri Paltan  ,55,33,season 7
U.P. Yoddha , Jaipur Pink Panthers  ,38,32,season 7
Dabang Delhi K.C. , Telugu Titans  ,37,29,season 7
U Mumba , U.P. Yoddha  ,39,36,season 7
Match Tied,,,,season 7
Bengal Warriors , Haryana Steelers  ,48,36,season 7
Match Tied,,,,season 7
Puneri Paltan , Bengaluru Bulls  ,42,38,season 7
Match Tied,,,,season 7
U.P. Yoddha , Tamil Thalaivas  ,42,22,season 7
U Mumba , Gujarat Fortunegiants  ,31,25,season 7
Bengal Warriors , Jaipur Pink Panthers  ,41,40,season 7
