player Name,matched_played,total_point,season
Anup Kumar,16,169,season 1
Rahul Chaudhari,14,161,season 1
Maninder Singh,16,137,season 1
Ajay Thakur,15,127,season 1
Kashiling Adake,14,122,season 1
Manjeet Chhillar,16,122,season 1
Surjeet Narwal,14,120,season 1
Sandeep Narwal,16,119,season 1
Jasvir Singh,15,113,season 1
Wazir Singh,12,111,season 1
Ravi Dalal,16,111,season 1
Nitin Madane,12,107,season 1
Rakesh Kumar,12,99,season 1
Rajesh Narwal,16,98,season 1
Deepak Niwas Hooda,14,89,season 1
Sukesh Hegde,14,83,season 1
Rishank Devadiga,16,77,season 1
Shabeer Bappu,10,67,season 1
Surender Nada,15,61,season 1
Mahesh Goud,13,59,season 1
Jang Kun Lee,11,57,season 1
Jitesh Joshi,14,53,season 1
Dharmaraj Cheralathan,16,52,season 1
Sunil Jaipal,13,50,season 1
Shrikant Tewthia,14,50,season 1
Jasmer Singh Gulia,14,45,season 1
Rajesh Mondal,15,44,season 1
Pawan Kumar Kadian,10,44,season 1
Manoj Kumar,14,42,season 1
Rohit Rana,15,38,season 1
Mohit Chhillar,16,36,season 1
Parmod Narwal,16,36,season 1
Ran Singh,10,36,season 1
Nilesh Shinde,14,35,season 1
Prashant Chavan,15,33,season 1
Kalimuthu Balamahendran,14,32,season 1
Mahipal Narwal,5,31,season 1
Amit Singh Chhillar,14,30,season 1
Ravinder Pahal,9,29,season 1
D. Suresh Kumar,12,28,season 1
Mangesh Bhagat,8,28,season 1
Shyam Kumar Sah,13,28,season 1
Sachin Khambe,14,27,season 1
Wasim Sajjad,15,27,season 1
Gurpreet Singh,16,27,season 1
D. Gopu,15,27,season 1
Girish Maruti Ernak,12,25,season 1
Mahendra Ganesh Rajput,8,21,season 1
Deepak Kumar Dahiya,7,21,season 1
Pravin Niwale,7,21,season 1
Vishal Mane,16,20,season 1
Sachin Shingade,10,20,season 1
Vijendar Singh,8,20,season 1
Rajaguru Subramanian,14,19,season 1
Ram Kumar Sah,9,18,season 1
Navneet Gautam,14,17,season 1
Gangadhari Mallesh,10,16,season 1
Jeeva Kumar,9,16,season 1
Waleed Al Hasani,6,14,season 1
Gurvinder Singh,7,13,season 1
Nitin More,9,12,season 1
Preetam Chhillar,11,12,season 1
Samarjeet Singh,12,12,season 1
Bajirao Hodage,6,11,season 1
Sagar Khatale,8,10,season 1
Balbir Singh,8,9,season 1
Simon Kibura,4,8,season 1
Swapnil Dilip Shinde,8,8,season 1
Suresu Kumar,3,6,season 1
Ehsan Zamani Fard,8,6,season 1
Chandran Ranjit,6,6,season 1
Jeeva Gopal,11,6,season 1
Wajid Ali,4,5,season 1
Kuldeep Singh,3,5,season 1
Dadaso Balaso Awad,5,5,season 1
Sinotharan Kanesharajah,1,5,season 1
Seong Ryeol Kim,3,5,season 1
Punit Kumar Teotia,4,5,season 1
Mandeep Kumar,7,5,season 1
Rupesh Tomar,5,5,season 1
Vikas Tomar,8,5,season 1
Prashanth Kumar Rai,7,5,season 1
Rakesh Singh Kumar,9,4,season 1
Gurchet Singh,4,4,season 1
Sunil Hanumanthappa,5,4,season 1
Tae Deok Eom,9,4,season 1
Dovlet Boshimov,2,4,season 1
Parveen Kumar,8,3,season 1
Raju Lal Choudhary,5,2,season 1
Gokul Shitole,3,2,season 1
