team1,team2,team1_score,team2_score,season
U Mumba , Jaipur Pink Panthers ,29,28,season 2
Bengaluru Bulls , Bengal Warriors ,33,25,season 2
Telugu Titans , Dabang Delhi ,36,27,season 2
U Mumba , Bengaluru Bulls ,36,23,season 2
Telugu Titans , Puneri Paltan ,45,24,season 2
U Mumba , Patna Pirates ,25,20,season 2
U Mumba , Puneri Paltan ,28,21,season 2
Bengal Warriors , Jaipur Pink Panthers ,28,26,season 2
Bengaluru Bulls , Patna Pirates ,31,26,season 2
Telugu Titans , Bengal Warriors ,32,30,season 2
Dabang Delhi , Puneri Paltan ,38,37,season 2
U Mumba , Bengal Warriors ,29,25,season 2
Bengaluru Bulls , Puneri Paltan ,31,26,season 2
Dabang Delhi , Bengal Warriors ,32,21,season 2
Patna Pirates , Jaipur Pink Panthers ,29,23,season 2
U Mumba , Telugu Titans ,27,26,season 2
Bengaluru Bulls , Dabang Delhi ,33,18,season 2
Telugu Titans , Jaipur Pink Panthers ,33,22,season 2
Jaipur Pink Panthers , Bengaluru Bulls ,36,23,season 2
Puneri Paltan , Bengal Warriors ,33,29,season 2
Dabang Delhi , Jaipur Pink Panthers ,35,27,season 2
Telugu Titans , Patna Pirates ,34,22,season 2
Bengaluru Bulls , Telugu Titans ,35,21,season 2
Patna Pirates , Dabang Delhi ,39,22,season 2
U Mumba , Dabang Delhi ,27,22,season 2
Patna Pirates , Puneri Paltan ,32,28,season 2
Jaipur Pink Panthers , Puneri Paltan ,35,29,season 2
Match Tied,,,,season 2
Match Tied,,,,season 2
U Mumba , Dabang Delhi ,29,25,season 2
Telugu Titans , Bengal Warriors ,44,28,season 2
Bengaluru Bulls , Bengal Warriors ,33,22,season 2
Telugu Titans , Patna Pirates ,54,32,season 2
Jaipur Pink Panthers , U Mumba ,35,25,season 2
Match Tied,,,,season 2
Bengal Warriors , Dabang Delhi ,20,17,season 2
Patna Pirates , Bengaluru Bulls ,30,28,season 2
U Mumba , Bengal Warriors ,31,17,season 2
Dabang Delhi , Patna Pirates ,45,26,season 2
Jaipur Pink Panthers , Dabang Delhi ,51,21,season 2
Jaipur Pink Panthers , Puneri Paltan ,31,18,season 2
Match Tied,,,,season 2
U Mumba , Bengaluru Bulls ,36,29,season 2
Bengal Warriors , Puneri Paltan ,31,28,season 2
Jaipur Pink Panthers , Bengaluru Bulls ,27,25,season 2
Patna Pirates , Bengal Warriors ,34,32,season 2
Bengaluru Bulls , Dabang Delhi ,40,21,season 2
U Mumba , Patna Pirates ,32,27,season 2
Bengaluru Bulls , Telugu Titans ,43,29,season 2
Puneri Paltan , Dabang Delhi ,33,28,season 2
Bengal Warriors , Jaipur Pink Panthers ,39,38,season 2
U Mumba , Puneri Paltan ,39,34,season 2
Telugu Titans , U Mumba ,46,25,season 2
Patna Pirates , Puneri Paltan ,38,21,season 2
Patna Pirates , Jaipur Pink Panthers ,26,24,season 2
Bengaluru Bulls , Puneri Paltan ,31,30,season 2
Bengaluru Bulls , Telugu Titans ,39,38,season 2
U Mumba , Patna Pirates ,35,18,season 2
Telugu Titans , Patna Pirates ,34,26,season 2
U Mumba , Bengaluru Bulls ,36,30,season 2
