team1,team2,team1_score,team2_score,season
Puneri Paltan , U Mumba ,33,21,season 5
Dabang Delhi K.C. , Jaipur Pink Panthers ,30,26,season 5
Patna Pirates , Telugu Titans ,35,29,season 5
U Mumba , Haryana Steelers ,29,28,season 5
Bengaluru Bulls , Telugu Titans ,31,21,season 5
Gujarat Fortunegiants , Dabang Delhi K.C. ,26,20,season 5
U.P. Yoddha , Telugu Titans ,31,18,season 5
Match Tied,,,,season 5
Bengal Warriors , Telugu Titans ,30,24,season 5
Patna Pirates , Telugu Titans ,43,36,season 5
Bengaluru Bulls , Tamil Thalaivas ,32,31,season 5
Puneri Paltan , Dabang Delhi K.C. ,26,21,season 5
U Mumba , Dabang Delhi K.C. ,36,22,season 5
U.P. Yoddha , Bengaluru Bulls ,32,27,season 5
Bengal Warriors , U.P. Yoddha ,40,20,season 5
Patna Pirates , Bengaluru Bulls ,46,32,season 5
Haryana Steelers , Gujarat Fortunegiants ,32,20,season 5
Match Tied,,,,season 5
Bengaluru Bulls , Bengal Warriors ,31,25,season 5
Jaipur Pink Panthers , Puneri Paltan ,30,28,season 5
Tamil Thalaivas , Bengaluru Bulls ,29,24,season 5
Gujarat Fortunegiants , U Mumba ,39,21,season 5
U.P. Yoddha , Telugu Titans ,39,32,season 5
Gujarat Fortunegiants , Dabang Delhi K.C. ,29,25,season 5
Match Tied,,,,season 5
Gujarat Fortunegiants , Jaipur Pink Panthers ,27,20,season 5
Puneri Paltan , Bengal Warriors ,34,17,season 5
Gujarat Fortunegiants , Bengaluru Bulls ,27,24,season 5
Match Tied,,,,season 5
Gujarat Fortunegiants , Telugu Titans ,29,19,season 5
Dabang Delhi K.C. , Tamil Thalaivas ,30,29,season 5
Match Tied,,,,season 5
U Mumba , U.P. Yoddha ,37,34,season 5
Jaipur Pink Panthers , Bengaluru Bulls ,30,28,season 5
Telugu Titans , U Mumba ,37,32,season 5
Haryana Steelers , U.P. Yoddha ,36,29,season 5
Puneri Paltan , Patna Pirates ,47,42,season 5
Jaipur Pink Panthers , U.P. Yoddha ,24,22,season 5
Gujarat Fortunegiants , Puneri Paltan ,35,21,season 5
Bengal Warriors , U.P. Yoddha ,32,31,season 5
Haryana Steelers , Dabang Delhi K.C. ,27,25,season 5
Match Tied,,,,season 5
U.P. Yoddha , Telugu Titans ,25,23,season 5
Jaipur Pink Panthers , U Mumba ,39,36,season 5
Match Tied,,,,season 5
Patna Pirates , Tamil Thalaivas ,35,24,season 5
Puneri Paltan , U Mumba ,26,24,season 5
Bengal Warriors , Bengaluru Bulls ,32,26,season 5
Dabang Delhi K.C. , U Mumba ,33,32,season 5
U Mumba , Haryana Steelers ,38,32,season 5
Telugu Titans , Tamil Thalaivas ,33,28,season 5
U Mumba , Jaipur Pink Panthers ,36,32,season 5
Bengal Warriors , Patna Pirates ,41,38,season 5
Haryana Steelers , Gujarat Fortunegiants ,42,36,season 5
Match Tied,,,,season 5
Jaipur Pink Panthers , Gujarat Fortunegiants ,31,25,season 5
Bengal Warriors , Tamil Thalaivas ,29,25,season 5
Patna Pirates , Jaipur Pink Panthers ,47,21,season 5
Haryana Steelers , Bengal Warriors ,36,29,season 5
Dabang Delhi K.C. , Bengaluru Bulls ,38,30,season 5
U Mumba , Bengal Warriors ,37,31,season 5
Puneri Paltan , Telugu Titans ,42,37,season 5
Match Tied,,,,season 5
Match Tied,,,,season 5
Match Tied,,,,season 5
