team1,team2,team1_score,team2_score,season
U Mumba , Patna Pirates ,51,41,season 5
Haryana Steelers , Bengaluru Bulls ,38,31,season 5
Bengaluru Bulls , Puneri Paltan ,24,20,season 5
Telugu Titans , Haryana Steelers ,37,19,season 5
Bengal Warriors , Telugu Titans ,32,31,season 5
Haryana Steelers , Dabang Delhi K.C. ,27,24,season 5
Tamil Thalaivas , U.P. Yoddha ,34,33,season 5
Puneri Paltan , Haryana Steelers ,38,22,season 5
Match Tied,,,,season 5
Patna Pirates , Telugu Titans ,46,30,season 5
Gujarat Fortunegiants , U Mumba ,39,28,season 5
Match Tied,,,,season 5
Patna Pirates , U.P. Yoddha ,45,42,season 5
Jaipur Pink Panthers , Dabang Delhi K.C. ,36,25,season 5
Match Tied,,,,season 5
Puneri Paltan , Haryana Steelers ,37,25,season 5
Patna Pirates , Bengaluru Bulls ,36,32,season 5
Gujarat Fortunegiants , U Mumba ,45,23,season 5
Patna Pirates , Tamil Thalaivas ,41,39,season 5
Haryana Steelers , Jaipur Pink Panthers ,30,26,season 5
U.P. Yoddha , Patna Pirates ,46,41,season 5
U Mumba , Dabang Delhi K.C. ,30,28,season 5
Bengal Warriors , Bengaluru Bulls ,33,29,season 5
Puneri Paltan , Dabang Delhi K.C. ,34,29,season 5
Tamil Thalaivas , Bengal Warriors ,33,32,season 5
Haryana Steelers , Dabang Delhi K.C. ,42,24,season 5
Tamil Thalaivas , Gujarat Fortunegiants ,35,34,season 5
Patna Pirates , Dabang Delhi K.C. ,36,34,season 5
Telugu Titans , Jaipur Pink Panthers ,41,34,season 5
U.P. Yoddha , Dabang Delhi K.C. ,45,16,season 5
U Mumba , Bengaluru Bulls ,42,30,season 5
Telugu Titans , Dabang Delhi K.C. ,44,22,season 5
Puneri Paltan , Tamil Thalaivas ,33,20,season 5
Gujarat Fortunegiants , Patna Pirates ,30,29,season 5
Puneri Paltan , U.P. Yoddha ,34,33,season 5
Jaipur Pink Panthers , Tamil Thalaivas ,27,26,season 5
Bengal Warriors , Jaipur Pink Panthers ,32,31,season 5
U Mumba , Tamil Thalaivas ,33,30,season 5
Gujarat Fortunegiants , Dabang Delhi K.C. ,42,22,season 5
Telugu Titans , Tamil Thalaivas ,58,37,season 5
Haryana Steelers , U Mumba ,41,30,season 5
U.P. Yoddha , Tamil Thalaivas ,37,33,season 5
Bengaluru Bulls , Tamil Thalaivas ,45,35,season 5
Gujarat Fortunegiants , Jaipur Pink Panthers ,29,23,season 5
Bengal Warriors , Puneri Paltan ,25,19,season 5
Haryana Steelers , Telugu Titans ,32,30,season 5
Jaipur Pink Panthers , U Mumba ,36,32,season 5
Gujarat Fortunegiants , Patna Pirates ,33,29,season 5
Puneri Paltan , Jaipur Pink Panthers ,38,30,season 5
Tamil Thalaivas , U Mumba ,38,35,season 5
Dabang Delhi K.C. , Jaipur Pink Panthers ,35,34,season 5
Bengaluru Bulls , Dabang Delhi K.C. ,35,32,season 5
Haryana Steelers , Jaipur Pink Panthers ,37,27,season 5
U.P. Yoddha , Jaipur Pink Panthers ,53,32,season 5
Gujarat Fortunegiants , Puneri Paltan ,44,20,season 5
Bengal Warriors , Tamil Thalaivas ,34,30,season 5
Tamil Thalaivas , Patna Pirates ,40,37,season 5
Puneri Paltan , U Mumba ,43,24,season 5
Bengaluru Bulls , U.P. Yoddha ,38,32,season 5
Puneri Paltan , Dabang Delhi K.C. ,34,31,season 5
Bengaluru Bulls , U.P. Yoddha ,64,24,season 5
Haryana Steelers , Puneri Paltan ,31,27,season 5
Match Tied,,,,season 5
Puneri Paltan , Jaipur Pink Panthers ,38,15,season 5
Match Tied,,,,season 5
Gujarat Fortunegiants , Puneri Paltan ,23,22,season 5
Puneri Paltan , U.P. Yoddha ,40,38,season 5
Patna Pirates , Haryana Steelers ,69,30,season 5
Gujarat Fortunegiants , Bengal Warriors ,42,17,season 5
Patna Pirates , Puneri Paltan ,42,32,season 5
Patna Pirates , Bengal Warriors ,47,44,season 5
Patna Pirates , Gujarat Fortunegiants ,55,38,season 5
